Date,Open,High,Low,Close,Volume,Stoch_%K,Stoch_%D,Williams_%R,A/D Oscillator,Momentum,Disparity Index 7,ROC,positive,negative,neutral,Open_BTC,High_BTC,Low_BTC,Close_BTC,Volume_BTC,Open_ETH,High_ETH,Low_ETH,Close_ETH,Volume_ETH,Open_USDT,High_USDT,Low_USDT,Close_USDT,Volume_USDT,Open_SOL,High_SOL,Low_SOL,Close_SOL,Volume_SOL,Open_STETH,High_STETH,Low_STETH,Close_STETH,Volume_STETH
2023-07-14,256.464203,261.1026,244.275665,248.19162,799468588,56.16987457218375,72.58113281098413,-43.83012542781625,171302280428.77783,2.3500479931537805,101.38371845006228,0.7852340374889685,17,13,10,31474.720703,31582.253906,29966.386719,30334.068359,20917902660,2005.686157,2026.204956,1901.361206,1939.347046,10627449471,1.000554,1.001421,0.999868,1.000725,39502042324,26.02076,30.057695,25.434978,26.735718,2184090884,1994.952515,2010.236328,1901.717773,1934.216064,20663651
2023-07-15,248.175522,252.537262,247.508072,251.099701,422767368,66.04221230210432,73.0611413805495,-33.95778769789568,171483357234.15863,5.0270041228899425,101.6926261081289,1.914701498119896,5,5,2,30331.783203,30407.78125,30263.462891,30295.806641,8011667756,1939.129639,1946.019165,1928.187378,1931.466553,4380084234,1.000718,1.001204,1.000018,1.000365,18925797737,26.729034,29.057396,26.688868,27.391356,1323279744,1934.698608,1939.387939,1921.43689,1925.221558,8601940
2023-07-16,251.098236,251.882416,242.580139,242.65683,441487283,37.380399263832054,53.19749537937337,-62.619600736167946,171049149480.9384,4.449650695806866,97.79646726370792,0.0675937260353892,5,3,1,30297.472656,30437.560547,30089.669922,30249.132813,8516564470,1931.64502,1942.030884,1917.294067,1923.681885,4329306566,1.000297,1.000948,1.00001,1.000607,17514358400,27.395527,28.551088,26.897699,27.384083,753056132,1925.210938,1934.284424,1915.256958,1919.410889,3439056
2023-07-17,242.658096,244.682037,240.597595,244.352997,671028354,43.13853786806827,48.85371647800154,-56.86146213193173,171612062616.45804,3.7058820121648246,98.56639411698296,2.2050728103396326,13,7,11,30249.626953,30336.400391,29685.783203,30145.888672,13240156074,1923.694336,1936.177612,1875.120361,1911.646118,6678090758,1.000612,1.000972,0.999783,1.00022,24482827973,27.385769,28.380919,25.895729,26.872766,970813262,1919.440186,1932.78833,1876.877808,1905.494141,23933746
2023-07-18,244.334579,246.530853,238.704224,240.264938,751858394,29.260417173410502,36.593118101770266,-70.7395828265895,171160061522.84454,1.6833543681705825,97.38163832479202,3.420080318982541,12,11,8,30147.070313,30233.65625,29556.427734,29856.5625,13138897269,1911.697021,1916.468384,1878.718506,1897.599243,5814708445,1.000272,1.000723,0.999562,1.000158,22117323145,26.869007,27.045597,24.824854,25.544504,696782373,1904.887207,1920.304321,1879.060181,1894.925171,21425451
2023-07-19,240.274185,243.927704,239.993591,241.160812,499664149,32.301725407759804,34.900226816412854,-67.6982745922402,170956890376.2875,2.9596966444238824,97.90682334482568,2.3510864293997735,8,12,16,29862.046875,30184.181641,29794.269531,29913.923828,12128602812,1897.797241,1919.264404,1883.067139,1889.007935,6018487800,1.000134,1.000852,0.999647,1.00023,21629091201,25.550882,26.922089,25.418062,26.372353,603189951,1895.881592,1913.234009,1885.770386,1888.843018,24199028
2023-07-20,241.138885,243.142593,240.387741,242.733139,485038743,37.63945264640026,33.067198409190176,-62.36054735359974,171297746380.26825,-1.2775346625536297,99.3377182889424,2.727930239390179,14,10,8,29915.25,30195.53125,29638.095703,29792.015625,14655207121,1889.07373,1919.264404,1879.734375,1890.969116,7366830684,1.000173,1.000852,0.999616,1.000079,25849427845,26.368727,26.896439,25.169426,25.375168,606255421,1888.854492,1922.425415,1880.92627,1888.980957,22774469
2023-07-21,242.754288,245.163345,242.367477,243.788986,413015398,40.49288552079957,36.811354524986534,-59.50711447920044,171304711543.14993,-1.910910079745047,100.02728507254102,4.081752900266819,11,17,7,29805.111328,30045.998047,29733.851563,29908.744141,10972789818,1891.581299,1905.38623,1885.296265,1892.080078,4668158260,1.00007,1.000608,0.999544,1.000216,21736934537,25.375525,25.947922,25.142338,25.544268,410907584,1889.084717,1897.369507,1883.822266,1889.87793,26155122
2023-07-22,243.809082,244.858734,240.512619,241.030746,310128851,31.01277908888363,36.381705752027806,-68.98722091111638,171068527413.43875,-1.2249559238783676,99.48270720768494,-1.9699182185262296,3,5,2,29908.697266,29991.615234,29664.121094,29771.802734,7873300598,1891.955078,1897.088013,1855.092773,1864.912354,4101305643,1.000169,1.001013,0.999849,0.999861,15361411060,25.543179,25.950357,24.306475,24.535053,335432006,1889.53125,1892.876709,1856.464722,1860.314331,29943016
2023-07-23,241.054657,243.976486,240.761215,242.455963,279600847,35.9112682880019,35.805644299228355,-64.08873171199811,171083678067.16858,-5.471456678657471,100.08280282363977,-2.447255117550683,2,7,1,29790.111328,30330.640625,29741.527344,30084.539063,9220145050,1866.094238,1904.483276,1859.568848,1889.19165,4480604100,1.000115,1.001127,0.999769,0.999897,15719491555,24.532663,25.213612,24.250967,24.766815,330741258,1860.608765,1894.830078,1857.741699,1884.69165,8884938
2023-07-24,242.449432,242.891876,236.292389,238.946213,451906472,10.696499114820158,25.87351549723522,-89.30350088517984,170995218099.7678,-3.725108446449562,98.94950853491032,-2.0792031200146206,11,11,12,30081.662109,30093.394531,28934.294922,29176.916016,15395817395,1888.80957,1889.761963,1836.852417,1850.002075,6344373569,0.999988,1.000592,0.999121,1.000011,24790908035,24.76552,24.810638,23.069426,23.381491,492344649,1884.444458,1886.7948,1836.921875,1846.358521,19781749
2023-07-25,238.964096,239.637207,236.999405,237.808563,366519529,6.111088696504862,17.572952033108965,-93.88891130349514,170853561702.30426,-5.29317157570013,98.62171074150145,-7.283381396019889,12,12,10,29178.970703,29353.160156,29062.433594,29227.390625,10266772793,1850.027954,1867.323242,1845.981567,1857.741943,4163381707,1.000016,1.000704,0.999517,0.999829,18046684131,23.383249,23.525883,22.864363,23.279322,346742173,1846.347656,1861.712769,1844.470581,1856.06665,4383058
2023-07-26,237.819077,240.237717,236.641129,238.962357,417581395,10.761569097497842,9.189718969607611,-89.23843090250217,170974992074.20837,-1.5225093808404306,99.22944367861186,-3.7186037949226503,11,16,13,29225.759766,29675.552734,29113.912109,29354.972656,13497554655,1857.696533,1886.974121,1849.43689,1872.159912,5781548155,0.999899,1.00078,0.999551,1.000101,22065183057,23.279358,25.518347,23.207731,25.177053,688135176,1856.245728,1882.402222,1848.896484,1869.194946,16787809
2023-07-27,238.960114,243.163513,238.638443,240.498795,433186880,16.954333842626383,11.275663878876353,-83.04566615737362,170897989774.15155,-1.5773090763441655,99.9999965547794,-4.221791566370685,15,12,11,29353.798828,29560.966797,29099.351563,29210.689453,10770779217,1872.086304,1885.591553,1855.321533,1860.357178,4291339248,1.000056,1.000603,0.999379,0.99959,17964435031,25.17808,25.586376,24.720161,25.099337,514211484,1869.322876,1881.774658,1853.013062,1857.052368,15455161
2023-07-28,240.505127,242.796997,239.987869,241.977036,388148322,34.993483790239594,20.903128910121264,-65.0065162097604,171059543589.77417,0.7125875353481653,100.72306154348098,-0.280146246038084,14,18,4,29212.164063,29521.513672,29125.845703,29319.246094,11218474952,1860.702515,1881.457275,1857.04895,1874.744873,3800973336,0.999675,1.000478,0.999421,1.000106,17371797760,25.098728,25.473248,24.577673,24.846857,374045446,1857.109009,1874.691772,1854.161011,1872.740112,12435217
2023-07-29,241.971344,242.726273,241.323135,242.57637,317500344,40.30769799179952,30.751838541555156,-59.69230200820048,171309204200.1676,0.5869767928961875,100.87981644681756,-0.7270739552255178,3,6,2,29319.445313,29396.84375,29264.166016,29356.917969,6481775959,1874.560425,1885.529297,1870.333862,1881.068848,2497302218,1.000109,1.000581,0.999728,1.000054,11962846967,24.843933,25.367044,24.780375,25.168974,265061245,1872.554565,1880.666382,1867.335205,1874.430664,9018514
2023-07-30,242.582214,243.785721,240.925186,242.525986,425584373,60.88410331862269,45.39509503355393,-39.11589668137731,171359947132.58313,-0.0853418700278931,100.85466773590272,0.9410644844067876,5,4,2,29357.09375,29443.169922,29059.501953,29275.308594,8678454527,1880.871582,1884.144165,1851.728027,1861.643799,4003005547,1.000079,1.00062,0.999794,0.999893,15914742870,25.169373,25.193293,23.845407,24.261019,365262222,1874.490112,1877.327515,1852.771484,1858.942627,77787447
