Date,Open,High,Low,Close,Volume,Stoch_%K,Stoch_%D,Williams_%R,A/D Oscillator,Momentum,Disparity Index 7,ROC,positive,negative,neutral,Open_BTC,High_BTC,Low_BTC,Close_BTC,Volume_BTC,Open_ETH,High_ETH,Low_ETH,Close_ETH,Volume_ETH,Open_USDT,High_USDT,Low_USDT,Close_USDT,Volume_USDT,Open_BNB,High_BNB,Low_BNB,Close_BNB,Volume_BNB,Open_STETH,High_STETH,Low_STETH,Close_STETH,Volume_STETH
2021-01-23,3.341035,3.597302,3.315762,3.504112,27904470,59.9356289679601,50.40193992238759,-40.064371032039894,94741198.7868328,-0.2752020472527847,98.82678769821484,12.741651625274695,0,0,0,32985.757813,33360.976563,31493.160156,32067.642578,48354737975,1235.267944,1272.151123,1200.893311,1230.990601,27253895441,1.001362,1.001907,1.00048,1.000555,80722167203,40.865093,41.850292,39.586529,40.815479,468609053,1222.151001,1267.663818,1197.516724,1230.167725,13234
2021-01-24,3.50711,3.793049,3.489494,3.634411,32747555,68.04417605203449,59.36344201649433,-31.955823947965506,93260975.4264698,10.867272046181956,103.26604129273424,0.581530182946909,0,0,0,32064.376953,32944.007813,31106.685547,32289.378906,48643830599,1231.210571,1395.111328,1225.274048,1391.609375,36418163554,1.000555,1.003127,1.000276,1.001417,84413124756,40.862473,42.191525,40.504063,41.881607,450486066,1230.349121,1343.751587,1226.185059,1341.546021,8732
2021-01-25,3.634645,3.974357,3.45131,3.699981,80055958,72.124617439173,66.70147415305586,-27.87538256082701,89326647.53549641,13.839929775786503,105.53836394240057,5.299105066848206,0,0,0,32285.798828,34802.742188,32087.787109,32366.392578,59897054838,1390.639893,1467.784912,1304.973999,1324.414795,43565777745,1.001454,1.00207,0.999651,0.999971,101158851200,41.876053,43.353527,40.633656,41.623703,507172505,1341.330322,1483.993896,1308.195679,1330.399658,2899
2021-01-26,3.698959,4.096916,3.682632,4.04735,78823456,93.74149778397866,77.9700970917287,-6.258502216021335,149288822.7711124,17.4147206818574,113.5702167348394,23.463926759002906,1,1,0,32358.613281,32794.550781,31030.265625,32569.849609,60255421470,1323.741699,1376.085083,1253.340332,1357.058105,41572917750,0.999953,1.001826,0.999916,1.001081,101647526020,41.655128,42.477215,40.007832,41.694736,546536514,1330.366089,1381.410889,1251.651733,1351.959961,57576
2021-01-27,4.04863,4.04863,3.531602,3.690587,35195110,71.54002591270081,79.13538037861747,-28.459974087299184,135738554.30135834,-3.340685082444618,103.69644517048508,13.550897940132812,1,0,0,32564.029297,32564.029297,29367.138672,30432.546875,62576762015,1358.333374,1368.074097,1215.311279,1253.187134,39394416990,1.001102,1.002204,1.000407,1.001764,105901637306,41.756172,42.047836,39.730801,40.994877,519618043,1354.597412,1365.593994,1215.301758,1253.264038,717095
2021-01-28,3.68637,3.943491,3.609881,3.822072,31410527,79.72237814371964,81.66796728013303,-20.277621856280355,144285049.78064254,0.6996942443910759,103.92220671700652,10.879344832037772,0,0,0,30441.041016,33858.3125,30023.207031,33466.097656,76517157706,1251.279785,1356.288696,1226.17395,1332.492188,34637234789,1.001774,1.002336,1.000765,1.001543,104090387181,40.98642,43.076508,40.507519,42.529106,533847527,1253.187134,1356.335449,1226.17395,1333.482666,142652
2021-01-29,3.861581,3.892602,3.639386,3.834676,44053151,80.50672896335504,77.25637767325848,-19.493271036644945,168182896.02244395,5.294263984451931,102.32355662134712,0.4331167618570204,0,1,0,34318.671875,38406.261719,32064.814453,34316.386719,117894572511,1369.086792,1428.981201,1292.240112,1382.522827,53611955259,1.001297,1.003223,1.000008,1.000486,183670639698,42.386181,44.009453,41.907001,42.852348,651771603,1369.278809,1426.264893,1292.479004,1363.721436,288
2021-01-30,3.837682,4.311976,3.774104,4.224276,53378198,95.0479675209911,85.09235820935525,-4.952032479008912,204154469.52962783,13.446690253299376,109.70780518475752,11.29651707344062,1,0,0,34295.933594,34834.707031,32940.1875,34269.523438,65141828798,1382.231934,1402.39978,1328.529053,1376.115479,30616574234,1.000483,1.001333,0.999911,1.001243,115648742489,42.853512,44.988255,42.680065,44.772278,533768579,1363.714355,1380.432983,1266.478027,1336.990112,2892
2021-01-31,4.237314,4.78701,4.170498,4.264144,78376267,76.7203734243267,84.09168996955759,-23.279626575673294,149588359.99446866,42.58795078875492,108.21489662179206,17.086790123524594,0,0,0,34270.878906,34288.332031,32270.175781,33114.359375,52754542671,1376.823608,1378.916016,1288.501587,1314.986206,25198853581,1.00122,1.001312,1.000262,1.000808,101327508212,44.798698,45.70771,43.429073,44.275993,512545443,1337.26416,1398.358032,1274.953003,1326.362915,19256
2021-02-01,4.261251,4.611602,4.118255,4.611602,39361629,92.19028826049944,87.98620973527238,-7.809711739500557,188949988.99446863,37.81489551372606,113.28845739666671,23.848674581276413,2,0,0,33114.578125,34638.214844,32384.228516,33537.175781,61400400660,1314.855225,1373.845825,1274.357788,1369.040527,29210670920,1.000838,1.001162,0.999698,1.000645,117812471778,44.309074,52.138683,43.524193,51.607697,1256933735,1326.363892,1373.233154,1262.876709,1371.200562,303434
