Date,Open,High,Low,Close,Volume,Stoch_%K,Stoch_%D,Williams_%R,A/D Oscillator,Momentum,Disparity Index 7,ROC,positive,negative,neutral,Open_BTC,High_BTC,Low_BTC,Close_BTC,Volume_BTC,Open_USDT,High_USDT,Low_USDT,Close_USDT,Volume_USDT,Open_BNB,High_BNB,Low_BNB,Close_BNB,Volume_BNB,Open_SOL,High_SOL,Low_SOL,Close_SOL,Volume_SOL,Open_STETH,High_STETH,Low_STETH,Close_STETH,Volume_STETH
2021-01-30,1382.231934,1402.39978,1328.529053,1376.115479,30616574234,78.23552523961763,75.29021247977494,-21.76447476038238,1146949225529.2605,-0.4455389297737827,102.2873452568514,9.451831046696396,1,0,0,34295.933594,34834.707031,32940.1875,34269.523438,65141828798,1.000483,1.001333,0.999911,1.001243,115648742489,42.853512,44.988255,42.680065,44.772278,533768579,3.837682,4.311976,3.774104,4.224276,53378198,1363.714355,1380.432983,1266.478027,1336.990112,2892
2021-01-31,1376.823608,1378.916016,1288.501587,1314.986206,25198853581,63.72200120234094,73.90476882305568,-36.27799879765906,1136513104925.9705,17.24503364287022,98.54537480266038,-4.524059941693084,0,0,0,34270.878906,34288.332031,32270.175781,33114.359375,52754542671,1.00122,1.001312,1.000262,1.000808,101327508212,44.798698,45.70771,43.429073,44.275993,512545443,4.237314,4.78701,4.170498,4.264144,78376267,1337.26416,1398.358032,1274.953003,1326.362915,19256
2021-02-01,1314.855225,1373.845825,1274.357788,1369.040527,29210670920,76.55576559460143,72.83776401218667,-23.444234405398575,1162902009877.2534,10.717914408749554,102.10839357946402,-0.9573731793016982,2,0,0,33114.578125,34638.214844,32384.228516,33537.175781,61400400660,1.000838,1.001162,0.999698,1.000645,117812471778,44.309074,52.138683,43.524193,51.607697,1256933735,4.261251,4.611602,4.118255,4.611602,39361629,1326.363892,1373.233154,1262.876709,1371.200562,303434
2021-02-02,1369.505127,1542.990967,1362.77124,1515.193726,45437142801,94.40017040965505,78.22597906886581,-5.59982959034496,1194322627075.6948,23.08735133876136,111.13651965666432,35.09566759693894,2,0,0,33533.199219,35896.882813,33489.21875,35510.289063,63088585433,1.000645,1.001785,1.000367,1.001427,112355343051,51.551884,52.911865,49.387074,51.056404,1006694242,4.613741,5.403642,4.480119,5.267508,98755962,1368.204468,1543.511719,1363.770386,1515.109497,1641086
2021-02-03,1514.769653,1660.909546,1510.010254,1660.909546,41874566399,100.0,90.31864533475216,-0.0,1236197193474.6948,19.351707155608956,116.83310695331843,34.3221309581459,1,0,0,35510.820313,37480.1875,35443.984375,37472.089844,61166818159,1.001389,1.002326,1.000786,1.001013,106216534834,51.050102,52.677433,49.955585,52.242638,714000888,5.246592,5.780781,5.072738,5.71599,49386327,1516.787842,1657.398682,1510.873047,1657.398682,231308
2021-02-04,1661.170166,1689.186646,1561.853516,1594.762695,44396871836,85.30572556855248,93.23529865940252,-14.694274431447532,1214749016959.2446,20.412630621511592,109.29950531742676,29.55116746663121,2,0,0,37475.105469,38592.175781,36317.5,36926.066406,68838074392,1.000989,1.001532,1.000509,1.000804,130071476669,52.24221,57.070911,51.602642,55.925125,940905214,5.731748,6.531011,5.603236,6.426065,108249482,1657.637939,1685.834839,1558.856567,1594.272583,180439
2021-02-05,1594.793335,1756.510986,1594.793335,1718.650879,40108628454,93.18594265382218,92.83055607412489,-6.814057346177832,1236077791074.5034,26.6453420577743,114.0373929324001,23.500955790844685,0,0,0,36931.546875,38225.90625,36658.761719,38144.308594,58598066402,1.000788,1.001574,0.999962,1.000131,116242339499,56.010803,68.463959,56.010803,67.845566,1431595319,6.43537,7.127117,6.426447,6.68172,92892157,1594.185913,1759.033569,1594.185913,1719.55896,170494
2021-02-06,1717.797485,1738.314453,1649.068726,1677.846802,39873420648,85.46485096304755,87.98550639514075,-14.535149036952449,1221919446506.014,33.886373110498276,108.2343110110988,26.68589994118875,0,0,0,38138.386719,40846.546875,38138.386719,39266.011719,71326033653,1.000127,1.002163,1.000068,1.001129,121039422025,67.854637,75.401878,62.208126,72.733597,2114553792,6.687301,6.799131,5.713828,6.110807,102365494,1720.281494,1738.867188,1636.273438,1677.891357,1176535
2021-02-07,1677.605713,1690.036621,1501.750244,1614.227783,39889440151,73.7096674000971,84.12015367232227,-26.290332599902897,1229687899950.4944,21.143508197437935,101.33591103680118,18.950528135270964,0,0,0,39250.191406,39621.835938,37446.152344,38903.441406,65500641143,1.001124,1.001482,1.000308,1.001211,130348566847,72.868217,74.612549,64.497894,68.590523,1493688265,6.117645,6.871514,5.768592,6.700463,105451103,1677.703979,1689.664307,1502.441528,1614.651245,131391
2021-02-08,1613.642212,1770.59082,1571.579956,1746.616821,48012285956,95.68253515034516,84.95235117116327,-4.317464849654856,1266132510932.7617,26.33547793131665,106.05566346252364,39.37398283247936,0,0,0,38886.828125,46203.929688,38076.324219,46196.464844,101467222687,1.001241,1.003143,1.000291,1.001044,156718232410,68.525558,79.831543,67.859238,79.831543,2133574291,6.702447,8.055933,6.488928,7.88325,155254261,1614.849121,1765.30835,1572.123535,1747.388184,229327
2021-02-09,1746.926147,1815.963623,1711.620605,1768.035034,44180727529,92.02057738078184,87.13759331040804,-7.979422619218163,1269725569597.163,28.480135641290893,105.0521447598426,32.68633391792914,0,0,1,46184.992188,48003.722656,45166.960938,46481.105469,91809846886,1.001082,1.002882,1.000438,1.001232,155577364901,79.807022,115.131844,78.446327,107.899277,4425849540,7.869795,8.467784,7.570215,7.816793,121037873,1747.0896,1814.219116,1720.16272,1762.414185,668181
2021-02-10,1768.039795,1826.696777,1686.542358,1744.243408,41916084617,86.26973608781735,91.32428287298144,-13.730263912182652,1262322875446.8562,32.64347565331039,102.91056367379088,26.163805322832477,0,0,1,46469.761719,47145.566406,43881.152344,44918.183594,87301089896,1.001268,1.001703,1.000323,1.000722,167294523848,107.708557,148.074768,107.708557,129.737152,7000323240,7.818552,9.072604,7.613847,9.072214,120679902,1762.941162,1819.71814,1672.862549,1711.096558,503252
